index,Date,temp,humidity,precip,snow,snowdepth,windspeed,winddir,visibility,cloudcover,solarradiation,solarenergy,uvindex,conditions,solar_production
0,2022-07-27 02:00:00,21.277777777777786,51.52,0.0,0.0,0.0,7.8,3.0,21.7,9.5,33.0,0.1,0.0,Clear,0.0
1,2022-07-27 02:05:00,21.277777777777786,51.52,0.0,0.0,0.0,7.8,3.0,21.7,9.5,33.0,0.1,0.0,Clear,0.0
2,2022-07-27 02:10:00,21.277777777777786,51.52,0.0,0.0,0.0,7.8,3.0,21.7,9.5,33.0,0.1,0.0,Clear,0.0
3,2022-07-27 02:15:00,21.277777777777786,51.52,0.0,0.0,0.0,7.8,3.0,21.7,9.5,33.0,0.1,0.0,Clear,0.0
4,2022-07-27 02:20:00,21.277777777777786,51.52,0.0,0.0,0.0,7.8,3.0,21.7,9.5,33.0,0.1,0.0,Clear,0.0
5,2022-07-27 02:25:00,21.277777777777786,51.52,0.0,0.0,0.0,7.8,3.0,21.7,9.5,33.0,0.1,0.0,Clear,0.0
6,2022-07-27 02:30:00,21.277777777777786,51.52,0.0,0.0,0.0,7.8,3.0,21.7,9.5,33.0,0.1,0.0,Clear,0.0
7,2022-07-27 02:35:00,21.277777777777786,51.52,0.0,0.0,0.0,7.8,3.0,21.7,9.5,33.0,0.1,0.0,Clear,0.0
8,2022-07-27 02:40:00,21.277777777777786,51.52,0.0,0.0,0.0,7.8,3.0,21.7,9.5,33.0,0.1,0.0,Clear,0.0
9,2022-07-27 02:45:00,21.277777777777786,51.52,0.0,0.0,0.0,7.8,3.0,21.7,9.5,33.0,0.1,0.0,Clear,0.0
10,2022-07-27 02:50:00,21.277777777777786,51.52,0.0,0.0,0.0,7.8,3.0,21.7,9.5,33.0,0.1,0.0,Clear,0.0
11,2022-07-27 02:55:00,21.277777777777786,51.52,0.0,0.0,0.0,7.8,3.0,21.7,9.5,33.0,0.1,0.0,Clear,0.0
12,2022-07-27 03:00:00,19.66666666666667,58.4,0.0,0.0,0.0,7.0,19.0,,0.0,24.0,0.1,0.0,Clear,0.0
13,2022-07-27 03:05:00,19.66666666666667,58.4,0.0,0.0,0.0,7.0,19.0,,0.0,24.0,0.1,0.0,Clear,0.0
14,2022-07-27 03:10:00,19.66666666666667,58.4,0.0,0.0,0.0,7.0,19.0,,0.0,24.0,0.1,0.0,Clear,0.0
15,2022-07-27 03:15:00,19.66666666666667,58.4,0.0,0.0,0.0,7.0,19.0,,0.0,24.0,0.1,0.0,Clear,0.0
16,2022-07-27 03:20:00,19.66666666666667,58.4,0.0,0.0,0.0,7.0,19.0,,0.0,24.0,0.1,0.0,Clear,0.0
17,2022-07-27 03:25:00,19.66666666666667,58.4,0.0,0.0,0.0,7.0,19.0,,0.0,24.0,0.1,0.0,Clear,0.0
18,2022-07-27 03:30:00,19.66666666666667,58.4,0.0,0.0,0.0,7.0,19.0,,0.0,24.0,0.1,0.0,Clear,0.0
19,2022-07-27 03:35:00,19.66666666666667,58.4,0.0,0.0,0.0,7.0,19.0,,0.0,24.0,0.1,0.0,Clear,0.0
20,2022-07-27 03:40:00,19.66666666666667,58.4,0.0,0.0,0.0,7.0,19.0,,0.0,24.0,0.1,0.0,Clear,0.0
21,2022-07-27 03:45:00,19.66666666666667,58.4,0.0,0.0,0.0,7.0,19.0,,0.0,24.0,0.1,0.0,Clear,0.0
22,2022-07-27 03:50:00,19.66666666666667,58.4,0.0,0.0,0.0,7.0,19.0,,0.0,24.0,0.1,0.0,Clear,0.0
23,2022-07-27 03:55:00,19.66666666666667,58.4,0.0,0.0,0.0,7.0,19.0,,0.0,24.0,0.1,0.0,Clear,0.0
24,2022-07-27 04:00:00,18.166666666666668,65.17,0.0,0.0,0.0,6.3,1.0,,0.0,,,,Clear,0.0
25,2022-07-27 04:05:00,18.166666666666668,65.17,0.0,0.0,0.0,6.3,1.0,,0.0,,,,Clear,0.0
26,2022-07-27 04:10:00,18.166666666666668,65.17,0.0,0.0,0.0,6.3,1.0,,0.0,,,,Clear,0.0
27,2022-07-27 04:15:00,18.166666666666668,65.17,0.0,0.0,0.0,6.3,1.0,,0.0,,,,Clear,0.0
28,2022-07-27 04:20:00,18.166666666666668,65.17,0.0,0.0,0.0,6.3,1.0,,0.0,,,,Clear,0.0
29,2022-07-27 04:25:00,18.166666666666668,65.17,0.0,0.0,0.0,6.3,1.0,,0.0,,,,Clear,0.0
30,2022-07-27 04:30:00,18.166666666666668,65.17,0.0,0.0,0.0,6.3,1.0,,0.0,,,,Clear,0.0
31,2022-07-27 04:35:00,18.166666666666668,65.17,0.0,0.0,0.0,6.3,1.0,,0.0,,,,Clear,0.0
32,2022-07-27 04:40:00,18.166666666666668,65.17,0.0,0.0,0.0,6.3,1.0,,0.0,,,,Clear,0.0
33,2022-07-27 04:45:00,18.166666666666668,65.17,0.0,0.0,0.0,6.3,1.0,,0.0,,,,Clear,0.0
34,2022-07-27 04:50:00,18.166666666666668,65.17,0.0,0.0,0.0,6.3,1.0,,0.0,,,,Clear,0.0
35,2022-07-27 04:55:00,18.166666666666668,65.17,0.0,0.0,0.0,6.3,1.0,,0.0,,,,Clear,0.0
36,2022-07-27 05:00:00,17.5,68.0,0.0,0.0,0.0,6.0,7.0,,0.0,,,,Clear,0.0
37,2022-07-27 05:05:00,17.5,68.0,0.0,0.0,0.0,6.0,7.0,,0.0,,,,Clear,0.0
38,2022-07-27 05:10:00,17.5,68.0,0.0,0.0,0.0,6.0,7.0,,0.0,,,,Clear,0.0
39,2022-07-27 05:15:00,17.5,68.0,0.0,0.0,0.0,6.0,7.0,,0.0,,,,Clear,0.0
40,2022-07-27 05:20:00,17.5,68.0,0.0,0.0,0.0,6.0,7.0,,0.0,,,,Clear,0.0
41,2022-07-27 05:25:00,17.5,68.0,0.0,0.0,0.0,6.0,7.0,,0.0,,,,Clear,0.0
42,2022-07-27 05:30:00,17.5,68.0,0.0,0.0,0.0,6.0,7.0,,0.0,,,,Clear,0.0
43,2022-07-27 05:35:00,17.5,68.0,0.0,0.0,0.0,6.0,7.0,,0.0,,,,Clear,0.0
44,2022-07-27 05:40:00,17.5,68.0,0.0,0.0,0.0,6.0,7.0,,0.0,,,,Clear,0.0
45,2022-07-27 05:45:00,17.5,68.0,0.0,0.0,0.0,6.0,7.0,,0.0,,,,Clear,0.0
46,2022-07-27 05:50:00,17.5,68.0,0.0,0.0,0.0,6.0,7.0,,0.0,,,,Clear,0.0
47,2022-07-27 05:55:00,17.5,68.0,0.0,0.0,0.0,6.0,7.0,,0.0,,,,Clear,0.0
48,2022-07-27 06:00:00,16.444444444444443,71.95,0.0,0.0,0.0,4.4,303.0,,0.0,,,,Clear,0.0
49,2022-07-27 06:05:00,16.444444444444443,71.95,0.0,0.0,0.0,4.4,303.0,,0.0,,,,Clear,0.0
50,2022-07-27 06:10:00,16.444444444444443,71.95,0.0,0.0,0.0,4.4,303.0,,0.0,,,,Clear,0.0
51,2022-07-27 06:15:00,16.444444444444443,71.95,0.0,0.0,0.0,4.4,303.0,,0.0,,,,Clear,0.0
52,2022-07-27 06:20:00,16.444444444444443,71.95,0.0,0.0,0.0,4.4,303.0,,0.0,,,,Clear,0.0
53,2022-07-27 06:25:00,16.444444444444443,71.95,0.0,0.0,0.0,4.4,303.0,,0.0,,,,Clear,0.0
54,2022-07-27 06:30:00,16.444444444444443,71.95,0.0,0.0,0.0,4.4,303.0,,0.0,,,,Clear,0.0
55,2022-07-27 06:35:00,16.444444444444443,71.95,0.0,0.0,0.0,4.4,303.0,,0.0,,,,Clear,0.0
56,2022-07-27 06:40:00,16.444444444444443,71.95,0.0,0.0,0.0,4.4,303.0,,0.0,,,,Clear,0.0
57,2022-07-27 06:45:00,16.444444444444443,71.95,0.0,0.0,0.0,4.4,303.0,,0.0,,,,Clear,0.0
58,2022-07-27 06:50:00,16.444444444444443,71.95,0.0,0.0,0.0,4.4,303.0,,0.0,,,,Clear,0.0
59,2022-07-27 06:55:00,16.444444444444443,71.95,0.0,0.0,0.0,4.4,303.0,,0.0,,,,Clear,0.0
60,2022-07-27 07:00:00,16.11111111111111,71.26,0.0,0.0,0.0,5.2,341.0,,0.0,,,,Clear,0.0
61,2022-07-27 07:05:00,16.11111111111111,71.26,0.0,0.0,0.0,5.2,341.0,,0.0,,,,Clear,0.0
62,2022-07-27 07:10:00,16.11111111111111,71.26,0.0,0.0,0.0,5.2,341.0,,0.0,,,,Clear,0.0
63,2022-07-27 07:15:00,16.11111111111111,71.26,0.0,0.0,0.0,5.2,341.0,,0.0,,,,Clear,0.0
64,2022-07-27 07:20:00,16.11111111111111,71.26,0.0,0.0,0.0,5.2,341.0,,0.0,,,,Clear,0.0
65,2022-07-27 07:25:00,16.11111111111111,71.26,0.0,0.0,0.0,5.2,341.0,,0.0,,,,Clear,0.0
66,2022-07-27 07:30:00,16.11111111111111,71.26,0.0,0.0,0.0,5.2,341.0,,0.0,,,,Clear,0.0
67,2022-07-27 07:35:00,16.11111111111111,71.26,0.0,0.0,0.0,5.2,341.0,,0.0,,,,Clear,0.0
68,2022-07-27 07:40:00,16.11111111111111,71.26,0.0,0.0,0.0,5.2,341.0,,0.0,,,,Clear,0.0
69,2022-07-27 07:45:00,16.11111111111111,71.26,0.0,0.0,0.0,5.2,341.0,,0.0,,,,Clear,0.0
70,2022-07-27 07:50:00,16.11111111111111,71.26,0.0,0.0,0.0,5.2,341.0,,0.0,,,,Clear,0.0
71,2022-07-27 07:55:00,16.11111111111111,71.26,0.0,0.0,0.0,5.2,341.0,,0.0,,,,Clear,0.0
72,2022-07-27 08:00:00,15.5,73.51,0.0,0.0,0.0,4.3,332.0,,0.0,,,,Clear,5.454545454545455e-05
73,2022-07-27 08:05:00,15.5,73.51,0.0,0.0,0.0,4.3,332.0,,0.0,,,,Clear,5.454545454545455e-05
74,2022-07-27 08:10:00,15.5,73.51,0.0,0.0,0.0,4.3,332.0,,0.0,,,,Clear,0.00019636363636363636
75,2022-07-27 08:15:00,15.5,73.51,0.0,0.0,0.0,4.3,332.0,,0.0,,,,Clear,0.00019636363636363636
76,2022-07-27 08:20:00,15.5,73.51,0.0,0.0,0.0,4.3,332.0,,0.0,,,,Clear,0.00037090909090909096
77,2022-07-27 08:25:00,15.5,73.51,0.0,0.0,0.0,4.3,332.0,,0.0,,,,Clear,0.00037090909090909096
78,2022-07-27 08:30:00,15.5,73.51,0.0,0.0,0.0,4.3,332.0,,0.0,,,,Clear,0.0005781818181818182
79,2022-07-27 08:35:00,15.5,73.51,0.0,0.0,0.0,4.3,332.0,,0.0,,,,Clear,0.0006872727272727273
80,2022-07-27 08:40:00,15.5,73.51,0.0,0.0,0.0,4.3,332.0,,0.0,,,,Clear,0.0006872727272727273
