timestamp;cpu_perc;mem_mb;mem_perc
[18:27:13];0.05;101.3;10.48
[18:27:15];0.01;101.3;10.48
[18:27:17];0.01;101.3;10.48
[18:27:19];0.01;101.3;10.48
[18:27:21];0.01;101.3;10.48
[18:27:23];0.01;100.4;10.40
[18:27:25];0.01;100.4;10.40
[18:27:27];0.01;100.4;10.40
[18:27:29];0.01;100.4;10.40
[18:27:31];53.78;102.3;10.59
[18:27:33];54.54;102.9;10.66
[18:27:35];52.61;102;10.56
[18:27:37];53.15;102.9;10.65
[18:27:39];53.21;101.9;10.54
[18:27:41];53.49;102;10.56
[18:27:43];52.58;102.3;10.59
[18:27:46];53.90;102.5;10.62
[18:27:48];56.23;102.8;10.64
[18:27:50];53.52;102.9;10.65
[18:27:52];53.51;103;10.67
[18:27:54];54.31;103.4;10.70
[18:27:56];54.71;103.7;10.73
[18:27:58];50.90;103.9;10.76
[18:28:00];52.93;104.2;10.79
[18:28:02];54.42;104.4;10.81
[18:28:04];54.21;103.5;10.71
[18:28:06];53.60;103.4;10.71
[18:28:08];54.98;102.5;10.61
[18:28:10];1.25;101.3;10.49
[18:28:12];0.09;100.9;10.45
[18:28:14];0.03;100.9;10.45
[18:28:16];0.03;100.9;10.45
[18:28:18];0.01;100.9;10.45
[18:28:20];0.01;100.9;10.45
[18:28:22];0.04;100.9;10.44
[18:28:24];0.01;100.9;10.44
[18:28:26];0.01;100.9;10.44
[18:28:28];0.01;100.9;10.44
[18:28:30];0.01;100.9;10.44
[18:28:32];0.01;100.8;10.43
[18:28:34];0.01;100.8;10.43
[18:28:36];0.01;100.7;10.42
[18:28:38];0.01;100.7;10.42
[18:28:40];0.01;100.7;10.42
[18:28:42];0.01;100.7;10.42
[18:28:44];0.64;100.7;10.43
[18:28:46];0.01;100.7;10.43
[18:28:49];0.01;100.7;10.43
[18:28:51];0.01;100.7;10.43
[18:28:53];0.01;100.7;10.43
[18:28:55];0.01;100.7;10.43
[18:28:57];0.01;100.7;10.43
[18:28:59];0.01;100.7;10.43
[18:29:01];0.01;100.7;10.43
[18:29:03];0.01;100.7;10.43
[18:29:05];0.03;100.7;10.42
[18:29:07];0.01;100.7;10.42
[18:29:09];0.01;100.7;10.42
[18:29:11];0.01;100.7;10.42
